source_file,source_abs,source_lines,instrumented_lines,covered_lines,missed_instrumented_lines,line_coverage_pct,functions,covered_functions,function_coverage_pct,max_line_freq,sum_line_freq,page
src/chemistry/utils/prescribed_aero.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/prescribed_aero.F90,668,112,46,66,41.07142857142857,6,6,100.0,26624,179724,8f83dfffef_prescribed_aero.F90.html
src/chemistry/utils/prescribed_ghg.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/prescribed_ghg.F90,330,84,44,40,52.38095238095238,6,6,100.0,26624,82956,aa035bb964_prescribed_ghg.F90.html
src/chemistry/utils/prescribed_ozone.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/prescribed_ozone.F90,297,76,69,7,90.78947368421052,6,6,100.0,21568560,129488647,695fa3e3f5_prescribed_ozone.F90.html
src/chemistry/utils/prescribed_strataero.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/prescribed_strataero.F90,349,91,38,53,41.75824175824176,4,4,100.0,26624,75788,652d86d6e4_prescribed_strataero.F90.html
src/chemistry/utils/prescribed_volcaero.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/prescribed_volcaero.F90,328,91,44,47,48.35164835164835,6,6,100.0,26624,71692,ca356b0a39_prescribed_volcaero.F90.html
src/chemistry/utils/solar_data.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/solar_data.F90,489,180,135,45,75.0,6,6,100.0,1935360,9299500,11b5525eb2_solar_data.F90.html
src/chemistry/utils/tracer_data.F90,iCESM1.3.1_PI_atm/components/cam/src/chemistry/utils/tracer_data.F90,2403,662,401,261,60.57401812688822,15,15,100.0,1336969609,6309735273,d03a5aa9ac_tracer_data.F90.html
src/control/cam_comp.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_comp.F90,561,109,98,11,89.90825688073394,6,6,100.0,26624,2802303,a8f1a8642a_cam_comp.F90.html
src/control/cam_history.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_history.F90,5662,1497,946,551,63.19305277221109,33,33,100.0,2598773760,31834331244,19444c7e20_cam_history.F90.html
src/control/cam_history_buffers.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_history_buffers.F90,530,68,38,30,55.88235294117647,5,5,100.0,1736905076,2059002002,138c4ed9c6_cam_history_buffers.F90.html
src/control/cam_history_support.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_history_support.F90,1238,275,131,144,47.63636363636363,13,13,100.0,1058816,10316800,993a5b9102_cam_history_support.F90.html
src/control/cam_initfiles.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_initfiles.F90,97,26,25,1,96.15384615384616,4,4,100.0,2048,26624,c3af13baa6_cam_initfiles.F90.html
src/control/cam_instance.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_instance.F90,31,6,6,0,100.0,1,1,100.0,512,4608,a7a5bec6f4_cam_instance.F90.html
src/control/cam_restart.F90,iCESM1.3.1_PI_atm/components/cam/src/control/cam_restart.F90,563,71,60,11,84.50704225352112,5,5,100.0,512,47255,df2c090116_cam_restart.F90.html
src/control/camsrfexch.F90,iCESM1.3.1_PI_atm/components/cam/src/control/camsrfexch.F90,655,217,194,23,89.40092165898618,5,5,100.0,40980264,63809648,39de83441d_camsrfexch.F90.html
src/control/filenames.F90,iCESM1.3.1_PI_atm/components/cam/src/control/filenames.F90,214,68,48,20,70.58823529411765,1,1,100.0,16384,345600,bdfedd09a0_filenames.F90.html
src/control/history_defaults.F90,iCESM1.3.1_PI_atm/components/cam/src/control/history_defaults.F90,147,5,5,0,100.0,1,1,100.0,512,2560,f042dc1797_history_defaults.F90.html
src/control/ncdio_atm.F90,iCESM1.3.1_PI_atm/components/cam/src/control/ncdio_atm.F90,816,173,71,102,41.040462427745666,6,6,100.0,24576,1141257,2d62e44ac8_ncdio_atm.F90.html
src/control/readinitial.F90,iCESM1.3.1_PI_atm/components/cam/src/control/readinitial.F90,79,17,9,8,52.94117647058823,1,1,100.0,512,5632,c01e7ac75a_readinitial.F90.html
src/control/runtime_opts.F90,iCESM1.3.1_PI_atm/components/cam/src/control/runtime_opts.F90,1057,290,267,23,92.06896551724138,3,3,100.0,6144000,70462131,1b81235642_runtime_opts.F90.html
src/control/sat_hist.F90,iCESM1.3.1_PI_atm/components/cam/src/control/sat_hist.F90,1081,84,25,59,29.761904761904763,3,3,100.0,512000,1547281,51743cc88c_sat_hist.F90.html
src/control/scamMod.F90,iCESM1.3.1_PI_atm/components/cam/src/control/scamMod.F90,352,11,11,0,100.0,1,1,100.0,512,19456,6b374414d5_scamMod.F90.html
src/control/startup_initialconds.F90,iCESM1.3.1_PI_atm/components/cam/src/control/startup_initialconds.F90,62,8,8,0,100.0,1,1,100.0,512,5120,d4b184912f_startup_initialconds.F90.html
